count,temperature,values
3,1.25,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
3,1.25,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
3,1.25,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
3,1.25,"[0.6, 0.2222222222222222, 0.13333333333333333, 1.0]"
3,1.25,"[0.6, 0.2222222222222222, 0.13333333333333333, 1.0]"
3,1.25,"[0.4666666666666667, 0.42857142857142855, 0.2, 1.0]"
3,1.25,"[0.4, 0.3333333333333333, 0.13333333333333333, 0.5]"
5,0.5,"[0.6, 0.3333333333333333, 0.26666666666666666, 0.75]"
5,0.5,"[0.6, 0.3333333333333333, 0.4666666666666667, 0.5714285714285714]"
5,0.5,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
5,0.5,"[0.0, 0, 0.0, 0]"
5,0.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
5,0.5,"[0.7333333333333333, 0.36363636363636365, 0.3333333333333333, 0.8]"
5,0.5,"[0.3333333333333333, 0.6, 0.3333333333333333, 0.6]"
5,0.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
5,0.5,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
5,0.5,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
1,1.5,"[0.2, 0.3333333333333333, 0.13333333333333333, 0.5]"
1,1.5,"[0.0, 0, 0.0, 0]"
1,1.5,"[0.6666666666666666, 0.2, 0.2, 0.6666666666666666]"
1,1.5,"[0.0, 0, 0.0, 0]"
1,1.5,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
1,1.5,"[0.0, 0, 0.0, 0]"
1,1.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
1,1.5,"[0.0, 0, 0.0, 0]"
1,1.5,"[0.0, 0, 0.0, 0]"
1,1.5,"[0.5333333333333333, 0.375, 0.2, 1.0]"
0,1.5,"[0.5333333333333333, 0.25, 0.2, 0.6666666666666666]"
0,1.5,"[0.6666666666666666, 0.2, 0.3333333333333333, 0.4]"
0,1.5,"[0.7333333333333333, 0.18181818181818182, 0.26666666666666666, 0.75]"
0,1.5,"[0.4666666666666667, 0.7142857142857143, 0.5333333333333333, 0.5]"
0,1.5,"[0.5333333333333333, 0.375, 0.4, 0.5]"
0,1.5,"[0.7333333333333333, 0.18181818181818182, 0.5333333333333333, 0.5]"
0,1.5,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.6]"
0,1.5,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.8]"
0,1.5,"[0.4666666666666667, 0.2857142857142857, 0.26666666666666666, 0.75]"
0,1.5,"[0.5333333333333333, 0.375, 0.26666666666666666, 0.75]"
3,1.5,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
3,1.5,"[0.7333333333333333, 0.18181818181818182, 0.26666666666666666, 1.0]"
3,1.5,"[0.4, 0.5, 0.2, 1.0]"
3,1.5,"[0.7333333333333333, 0.2727272727272727, 0.26666666666666666, 1.0]"
3,1.5,"[0.26666666666666666, 0.25, 0.2, 1.0]"
3,1.5,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
3,1.5,"[0.5333333333333333, 0.25, 0.2, 1.0]"
3,1.5,"[0.6666666666666666, 0.1, 0.06666666666666667, 1.0]"
3,1.5,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
3,1.5,"[0.7333333333333333, 0.18181818181818182, 0.26666666666666666, 0.5]"
4,1.0,"[0.6, 0.3333333333333333, 0.2, 1.0]"
4,1.0,"[0.6666666666666666, 0.2, 0.13333333333333333, 1.0]"
4,1.0,"[0.4666666666666667, 0.2857142857142857, 0.2, 1.0]"
4,1.0,"[0.3333333333333333, 0.4, 0.2, 0.6666666666666666]"
4,1.0,"[0.5333333333333333, 0.375, 0.2, 0.6666666666666666]"
4,1.0,"[0.3333333333333333, 0.2, 0.13333333333333333, 0.5]"
4,1.0,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
4,1.0,"[0.4, 0.16666666666666666, 0.13333333333333333, 1.0]"
4,1.0,"[0.0, 0, 0.0, 0]"
4,1.0,"[0.6666666666666666, 0.2, 0.2, 0.6666666666666666]"
2,1.5,"[0.2, 0.3333333333333333, 0.06666666666666667, 1.0]"
2,1.5,"[0.13333333333333333, 1.0, 0.13333333333333333, 1.0]"
2,1.5,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
2,1.5,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
2,1.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
2,1.5,"[0.06666666666666667, 1.0, 0.13333333333333333, 0.5]"
2,1.5,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
2,1.5,"[0.3333333333333333, 0.2, 0.2, 1.0]"
2,1.5,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
2,1.5,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
5,1.0,"[0.5333333333333333, 0.25, 0.13333333333333333, 1.0]"
5,1.0,"[0.2, 0.6666666666666666, 0.13333333333333333, 1.0]"
5,1.0,"[0.0, 0, 0.0, 0]"
5,1.0,"[0.13333333333333333, 1.0, 0.2, 0.6666666666666666]"
5,1.0,"[0.6666666666666666, 0.1, 0.06666666666666667, 1.0]"
5,1.0,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
5,1.0,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
5,1.0,"[0.3333333333333333, 0.4, 0.2, 0.3333333333333333]"
5,1.0,"[0.6666666666666666, 0.1, 0.2, 1.0]"
5,1.0,"[0.6, 0.2222222222222222, 0.3333333333333333, 0.8]"
2,0.75,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
2,0.75,"[0.26666666666666666, 0.25, 0.13333333333333333, 1.0]"
2,0.75,"[0.3333333333333333, 0.4, 0.2, 0.3333333333333333]"
2,0.75,"[0.4, 0.3333333333333333, 0.2, 0.6666666666666666]"
2,0.75,"[0.7333333333333333, 0.45454545454545453, 0.4666666666666667, 0.7142857142857143]"
2,0.75,"[0.2, 0.3333333333333333, 0.06666666666666667, 1.0]"
2,0.75,"[0.2, 0.6666666666666666, 0.13333333333333333, 1.0]"
2,0.75,"[0.3333333333333333, 0.4, 0.3333333333333333, 0.6]"
2,0.75,"[0.6, 0.2222222222222222, 0.13333333333333333, 0.5]"
2,0.75,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
2,1.25,"[0.0, 0, 0.0, 0]"
2,1.25,"[0.6666666666666666, 0.1, 0.13333333333333333, 0.5]"
2,1.25,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
2,1.25,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
2,1.25,"[0.0, 0, 0.0, 0]"
2,1.25,"[0.0, 0, 0.0, 0]"
2,1.25,"[0.0, 0, 0.0, 0]"
2,1.25,"[0.26666666666666666, 0.75, 0.2, 1.0]"
2,1.25,"[0.2, 0.6666666666666666, 0.13333333333333333, 1.0]"
2,1.25,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
10,0.5,"[0.6666666666666666, 0.1, 0.06666666666666667, 1.0]"
10,0.5,"[0.6666666666666666, 0.3, 0.3333333333333333, 0.4]"
10,0.5,"[0.4, 0.3333333333333333, 0.2, 0.6666666666666666]"
10,0.5,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
10,0.5,"[0.4666666666666667, 0.14285714285714285, 0.06666666666666667, 1.0]"
10,0.5,"[0.4666666666666667, 0.2857142857142857, 0.2, 1.0]"
10,0.5,"[0.6666666666666666, 0.4, 0.26666666666666666, 1.0]"
10,0.5,"[0.6, 0.1111111111111111, 0.13333333333333333, 1.0]"
10,0.5,"[0.3333333333333333, 0.4, 0.2, 1.0]"
10,0.5,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.8]"
4,1.5,"[0.5333333333333333, 0.375, 0.2, 1.0]"
4,1.5,"[0.6, 0.2222222222222222, 0.2, 1.0]"
4,1.5,"[0.13333333333333333, 0.5, 0.06666666666666667, 1.0]"
4,1.5,"[0.4666666666666667, 0.14285714285714285, 0.26666666666666666, 0.75]"
4,1.5,"[0.0, 0, 0.0, 0]"
4,1.5,"[0.26666666666666666, 0.25, 0.13333333333333333, 1.0]"
4,1.5,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
4,1.5,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
4,1.5,"[0.26666666666666666, 0.25, 0.13333333333333333, 1.0]"
4,1.5,"[0.7333333333333333, 0.36363636363636365, 0.26666666666666666, 1.0]"
3,1.0,"[0.4, 0.3333333333333333, 0.13333333333333333, 0.5]"
3,1.0,"[0.13333333333333333, 0.5, 0.06666666666666667, 1.0]"
3,1.0,"[0.3333333333333333, 0.4, 0.26666666666666666, 0.75]"
3,1.0,"[0.4666666666666667, 0.42857142857142855, 0.2, 0.6666666666666666]"
3,1.0,"[0.7333333333333333, 0.2727272727272727, 0.26666666666666666, 1.0]"
3,1.0,"[0.4666666666666667, 0.2857142857142857, 0.2, 1.0]"
3,1.0,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
3,1.0,"[0.2, 0.3333333333333333, 0.06666666666666667, 1.0]"
3,1.0,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
3,1.0,"[0.6, 0.1111111111111111, 0.06666666666666667, 1.0]"
5,1.5,"[0.26666666666666666, 0.25, 0.2, 0.3333333333333333]"
5,1.5,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
5,1.5,"[0.13333333333333333, 1.0, 0.13333333333333333, 1.0]"
5,1.5,"[0.6, 0.2222222222222222, 0.13333333333333333, 1.0]"
5,1.5,"[0.4, 0.3333333333333333, 0.26666666666666666, 0.5]"
5,1.5,"[0.2, 0.6666666666666666, 0.2, 0.6666666666666666]"
5,1.5,"[0.2, 0.3333333333333333, 0.13333333333333333, 1.0]"
5,1.5,"[0.6, 0.1111111111111111, 0.06666666666666667, 1.0]"
5,1.5,"[0.7333333333333333, 0.36363636363636365, 0.4666666666666667, 0.5714285714285714]"
5,1.5,"[0.5333333333333333, 0.25, 0.26666666666666666, 0.5]"
2,1.0,"[0.6, 0.2222222222222222, 0.13333333333333333, 1.0]"
2,1.0,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
2,1.0,"[0.6666666666666666, 0.4, 0.4, 0.6666666666666666]"
2,1.0,"[0.6666666666666666, 0.1, 0.13333333333333333, 0.5]"
2,1.0,"[0.0, 0, 0.0, 0]"
2,1.0,"[0.7333333333333333, 0.18181818181818182, 0.13333333333333333, 1.0]"
2,1.0,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
2,1.0,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
2,1.0,"[0.6, 0.2222222222222222, 0.2, 1.0]"
2,1.0,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
1,1.0,"[0.0, 0, 0.0, 0]"
1,1.0,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
1,1.0,"[0.0, 0, 0.0, 0]"
1,1.0,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
1,1.0,"[0.6, 0.1111111111111111, 0.13333333333333333, 1.0]"
1,1.0,"[0.0, 0, 0.0, 0]"
1,1.0,"[0.4, 0.16666666666666666, 0.06666666666666667, 1.0]"
1,1.0,"[0.7333333333333333, 0.18181818181818182, 0.3333333333333333, 0.6]"
1,1.0,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
1,1.0,"[0.26666666666666666, 0.25, 0.13333333333333333, 1.0]"
0,1.0,"[0.5333333333333333, 0.25, 0.13333333333333333, 1.0]"
0,1.0,"[0.6666666666666666, 0.3, 0.8666666666666667, 0.23076923076923078]"
0,1.0,"[0.8, 0.3333333333333333, 0.8, 0.16666666666666666]"
0,1.0,"[0.6, 0.2222222222222222, 0.3333333333333333, 0.6]"
0,1.0,"[0.7333333333333333, 0.2727272727272727, 0.6, 0.3333333333333333]"
0,1.0,"[0.5333333333333333, 0.375, 0.26666666666666666, 0.75]"
0,1.0,"[0.4666666666666667, 0.14285714285714285, 0.26666666666666666, 0.75]"
0,1.0,"[0.6666666666666666, 0.5, 0.3333333333333333, 0.8]"
0,1.0,"[0.4, 0.16666666666666666, 0.3333333333333333, 0.4]"
0,1.0,"[0.7333333333333333, 0.2727272727272727, 0.2, 1.0]"
10,1.25,"[0.6, 0.3333333333333333, 0.2, 1.0]"
10,1.25,"[0.13333333333333333, 0.5, 0.06666666666666667, 1.0]"
10,1.25,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
10,1.25,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
10,1.25,"[0.4666666666666667, 0.14285714285714285, 0.06666666666666667, 1.0]"
10,1.25,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
10,1.25,"[0.13333333333333333, 0.5, 0.13333333333333333, 1.0]"
10,1.25,"[0.5333333333333333, 0.125, 0.13333333333333333, 1.0]"
10,1.25,"[0.5333333333333333, 0.25, 0.13333333333333333, 1.0]"
10,1.25,"[0.4, 0.16666666666666666, 0.13333333333333333, 1.0]"
4,1.25,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
4,1.25,"[0.26666666666666666, 0.25, 0.13333333333333333, 1.0]"
4,1.25,"[0.6, 0.3333333333333333, 0.4, 0.6666666666666666]"
4,1.25,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
4,1.25,"[0.7333333333333333, 0.18181818181818182, 0.13333333333333333, 1.0]"
4,1.25,"[0.4, 0.3333333333333333, 0.2, 1.0]"
4,1.25,"[0.6, 0.2222222222222222, 0.2, 1.0]"
4,1.25,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
4,1.25,"[0.6666666666666666, 0.1, 0.13333333333333333, 1.0]"
4,1.25,"[0.2, 0.3333333333333333, 0.06666666666666667, 1.0]"
1,1.25,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
1,1.25,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
1,1.25,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
1,1.25,"[0.0, 0, 0.0, 0]"
1,1.25,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
1,1.25,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
1,1.25,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
