count,temperature,P1
4,0.75,0.4
4,0.75,0.1333333333
4,0.75,0.06666666667
4,0.75,0.6666666667
4,0.75,0.06666666667
5,0.5,0.6
5,0.5,0.6
5,0.5,0.2666666667
5,0.5,0
5,0.5,0.06666666667
5,0.5,0.7333333333
5,0.5,0.3333333333
5,0.5,0.06666666667
5,0.5,0.2666666667
5,0.5,0.3333333333
5,1,0.5333333333
5,1,0.2
5,1,0
5,1,0.1333333333
5,1,0.6666666667
5,1,0.2666666667
5,1,0.06666666667
5,1,0.3333333333
5,1,0.6666666667
5,1,0.6
5,1.5,0.2666666667
5,1.5,0.3333333333
5,1.5,0.1333333333
5,1.5,0.6
5,1.5,0.4
5,1.5,0.2
5,1.5,0.2
5,1.5,0.6
5,1.5,0.7333333333
5,1.5,0.5333333333
5,1.25,0.2
5,1.25,0.4666666667
5,1.25,0.7333333333
5,1.25,0.7333333333
5,1.25,0.2666666667
5,1.25,0.4666666667
5,1.25,0.3333333333
5,1.25,0.4
5,1.25,0.1333333333
5,1.25,0.4666666667
5,0.75,0.2
5,0.75,0.06666666667
5,0.75,0.5333333333
5,0.75,0.7333333333
5,0.75,0.4
5,0.75,0.3333333333
5,0.75,0
5,0.75,0.7333333333
5,0.75,0.6
5,0.75,0.4
10,1,0.06666666667
10,1,0.3333333333
10,1,0.06666666667
10,1,0.06666666667
10,1,0.5333333333
10,1,0.3333333333
10,1,0.4
10,1,0.3333333333
10,1,0.6
10,1,0.6
10,1.5,0.2
10,1.5,0.2
10,1.5,0.2666666667
10,1.5,0.3333333333
10,1.5,0.7333333333
10,1.5,0.2666666667
10,1.5,0.4666666667
10,1.5,0.7333333333
10,1.5,0.3333333333
10,1.5,0.4
10,0.5,0.6666666667
10,0.5,0.6666666667
10,0.5,0.4
10,0.5,0.4666666667
10,0.5,0.4666666667
10,0.5,0.4666666667
10,0.5,0.6666666667
10,0.5,0.6
10,0.5,0.3333333333
10,0.5,0.6
10,1.25,0.6
10,1.25,0.1333333333
10,1.25,0.06666666667
10,1.25,0.06666666667
10,1.25,0.4666666667
10,1.25,0.3333333333
10,1.25,0.1333333333
10,1.25,0.5333333333
10,1.25,0.5333333333
10,1.25,0.4
10,0.75,0.2666666667
10,0.75,0.5333333333
10,0.75,0.4
10,0.75,0.5333333333
10,0.75,0.3333333333
10,0.75,0.6666666667
10,0.75,0.6
10,0.75,0.3333333333
10,0.75,0.2666666667
10,0.75,0.4666666667
