count,temperature,values
2,0.5,"[0.09090909090909091, 0.7142857142857143, 0.12987012987012986, 0.4]"
2,0.5,"[0.06493506493506493, 0.6, 0.07792207792207792, 0.6666666666666666]"
2,0.5,"[0.3116883116883117, 0.25, 0.11688311688311688, 0.8888888888888888]"
1,0.5,"[0.42857142857142855, 0.6060606060606061, 0.6363636363636364, 0.3877551020408163]"
1,0.5,"[0.42857142857142855, 0.36363636363636365, 0.5714285714285714, 0.25]"
1,0.5,"[0.4805194805194805, 0.5675675675675675, 0.7012987012987013, 0.2962962962962963]"
1,0.5,"[0.45454545454545453, 0.4857142857142857, 0.4935064935064935, 0.5]"
1,0.5,"[0.44155844155844154, 0.47058823529411764, 0.6363636363636364, 0.3877551020408163]"
1,0.5,"[0.4805194805194805, 0.4594594594594595, 0.4805194805194805, 0.5675675675675675]"
1,0.5,"[0.4155844155844156, 0.5625, 0.5974025974025974, 0.41304347826086957]"
1,0.5,"[0.4155844155844156, 0.4375, 0.6623376623376623, 0.3137254901960784]"
1,0.5,"[0.5064935064935064, 0.48717948717948717, 0.6493506493506493, 0.44]"
1,0.5,"[0.24675324675324675, 0.5263157894736842, 0.5844155844155844, 0.26666666666666666]"
0,0.5,"[0.025974025974025976, 1.0, 0.025974025974025976, 1.0]"
0,0.5,"[0.0, 0, 0.0, 0]"
0,0.5,"[0.025974025974025976, 1.0, 0.025974025974025976, 1.0]"
0,0.5,"[0.07792207792207792, 0.6666666666666666, 0.07792207792207792, 0.6666666666666666]"
0,0.5,"[0.05194805194805195, 0.75, 0.05194805194805195, 0.75]"
0,0.5,"[0.0, 0, 0.0, 0]"
0,0.5,"[0.0, 0, 0.0, 0]"
0,0.5,"[0.025974025974025976, 1.0, 0.025974025974025976, 1.0]"
0,0.5,"[0.07792207792207792, 0.6666666666666666, 0.07792207792207792, 0.8333333333333334]"
0,0.5,"[0.06493506493506493, 0.8, 0.06493506493506493, 0.6]"
4,0.5,"[0.12987012987012986, 0.4, 0.09090909090909091, 0.5714285714285714]"
4,0.5,"[0.14285714285714285, 0.45454545454545453, 0.15584415584415584, 0.5]"
